Name,기간,기술,프로젝트
알람체어,2020년 10월 - 2021년 4월,"양산, 인증, 임베디드, 회로설계",레니프
포즈빗(Posebit),2023년 6월 - 2024년 9월,"AWS, Firebase, 모바일, 백엔드, 양산, 임베디드, 회로설계",레니프
InfraPatrol: 통합 실시간 모니터링,2017년 8월 - 2019년 12월,웹디자인/웹퍼블리싱,시스네트정보
새벽기도 출석 체크 서비스,2025년 2월 28일 - 2025년 4월 18일,"Firebase, 백엔드",개인
시스네트정보 홈페이지,2017년 8월 - 2019년12월,웹디자인/웹퍼블리싱,시스네트정보
아이윌: 어드민,,프론트엔드,아이윌
아이윌: 기도 챌린지,,"AWS, Firebase, 백엔드, 프론트엔드",아이윌
아이윌: 감사 챌린지,,"AWS, 프론트엔드",아이윌
ciRRus: 개발자 도구,,"Flutter, MacOS",
믿음대로 캠페인,2025년 2월 17일 - 2025년 3월 6일,"Firebase, 백엔드, 프론트엔드",개인
코트디브아르 안드로이드 강의 교육 영상 촬영,,안드로이드,개인
습관체어,2021년 6월 - 2023년 6월,"AWS, 모바일, 백엔드, 양산, 인증, 임베디드, 회로설계",레니프
"OBS 프로그램 연동 영상 촬영 및 다운로드 프로그램 ",2025년 5월 19일 - 2025년 6월 1일,"GoogleDriveAPI, python",개인
Vote for Christ,2025년 5월 19일 - 2025년 6월 3일,"Firebase, 백엔드",개인
